shift_years,is_observed_timing,cell,index_definition,lag_months,weighting,estimate,naive_standard_error,naive_t,observations
31,False,roni:lag0:exposure,roni,0,exposure,0.01029199775165126,0.0338234355596803,0.30428599523816496,17992
31,False,roni:lag0:uniform,roni,0,uniform,-6.220894549927382e-05,0.0018332507929505438,-0.033933679853562757,17992
31,False,roni:lag3:exposure,roni,3,exposure,0.003241525667775628,0.03381651062123811,0.0958563023867939,18013
31,False,roni:lag3:uniform,roni,3,uniform,0.0012245607492581752,0.0018330904808301432,0.6680307175582594,18013
31,False,roni:lag6:exposure,roni,6,exposure,-0.0023552980664922722,0.03382677404160083,-0.06962822004828721,18013
31,False,roni:lag6:uniform,roni,6,uniform,-0.00023216826765950487,0.0018335093200945352,-0.12662508181171087,18013
31,False,roni:lag9:exposure,roni,9,exposure,-0.03776782271447064,0.03392598830237814,-1.1132416358176718,18013
31,False,roni:lag9:uniform,roni,9,uniform,-0.001541965022311212,0.0018385499052097165,-0.8386854324388469,18013
31,False,roni:lag12:exposure,roni,12,exposure,-0.04413426337850087,0.033988376365829936,-1.298510493807261,18013
31,False,roni:lag12:uniform,roni,12,uniform,-0.0019039044191273753,0.001841492638495872,-1.0338919522819712,18013
31,False,oni:lag0:exposure,oni,0,exposure,0.013291275911363632,0.03465012288785414,0.38358524598545085,17992
31,False,oni:lag0:uniform,oni,0,uniform,-0.0008021563783928584,0.0018787301550764906,-0.42696731950853234,17992
31,False,oni:lag3:exposure,oni,3,exposure,0.0046246325840145035,0.03463477149683167,0.13352571373071012,18013
31,False,oni:lag3:uniform,oni,3,uniform,0.0009852898112163353,0.0018782691614822136,0.5245732781124968,18013
31,False,oni:lag6:exposure,oni,6,exposure,0.00129162707006591,0.03463494452334234,0.037292598208015414,18013
31,False,oni:lag6:uniform,oni,6,uniform,-0.0006459506038862868,0.0018781490577658394,-0.3439293602472001,18013
31,False,oni:lag9:exposure,oni,9,exposure,-0.03508170176065366,0.034678620702605356,-1.0116233301637056,18013
31,False,oni:lag9:uniform,oni,9,uniform,-0.0020675079936142097,0.0018800550920488929,-1.0997060683796398,18013
31,False,oni:lag12:exposure,oni,12,exposure,-0.0493272846094536,0.03470210420686855,-1.4214493828789294,18013
31,False,oni:lag12:uniform,oni,12,uniform,-0.002376076841305591,0.001880936031914991,-1.263241705719516,18013
32,False,roni:lag0:exposure,roni,0,exposure,-0.045160088022627526,0.03400803268209174,-1.3279241538252327,17992
32,False,roni:lag0:uniform,roni,0,uniform,-0.001830134520399125,0.0018425829804715583,-0.9932440165765303,17992
32,False,roni:lag3:exposure,roni,3,exposure,-0.047161790408635405,0.03399552254910209,-1.3872941750054397,18013
32,False,roni:lag3:uniform,roni,3,uniform,-0.0016633055362025228,0.0018414799868271064,-0.9032438843217729,18013
32,False,roni:lag6:exposure,roni,6,exposure,-0.016882135570193656,0.03400614800082802,-0.4964436304218458,18013
32,False,roni:lag6:uniform,roni,6,uniform,-0.0027796955397327116,0.0018418611246251366,-1.5091775935595835,18013
32,False,roni:lag9:exposure,roni,9,exposure,0.05300171039101594,0.0340096685710692,1.5584306645111676,18013
32,False,roni:lag9:uniform,roni,9,uniform,-0.00407393044495314,0.0018421152946449784,-2.21155019818577,18013
32,False,roni:lag12:exposure,roni,12,exposure,0.07400177107895113,0.03403267054564926,2.1744332693401143,18013
32,False,roni:lag12:uniform,roni,12,uniform,-0.0021135367533065695,0.001843253985496259,-1.146633491606173,18013
32,False,oni:lag0:exposure,oni,0,exposure,-0.049848920947486296,0.034714137656643614,-1.4359832711542577,17992
32,False,oni:lag0:uniform,oni,0,uniform,-0.002338561446081425,0.0018815930201454103,-1.242862521833069,17992
32,False,oni:lag3:exposure,oni,3,exposure,-0.04860774684683409,0.03469944788909178,-1.4008219093916638,18013
32,False,oni:lag3:uniform,oni,3,uniform,-0.0017437976470324253,0.001880567025227063,-0.9272722660985062,18013
32,False,oni:lag6:exposure,oni,6,exposure,-0.006442869994965316,0.03469964122583243,-0.18567540664278884,18013
32,False,oni:lag6:uniform,oni,6,uniform,-0.002778979291118864,0.00188053054584183,-1.4777634414201117,18013
32,False,oni:lag9:exposure,oni,9,exposure,0.06285965988512822,0.03468856789479919,1.8121145870237174,18013
32,False,oni:lag9:uniform,oni,9,uniform,-0.004400261056841615,0.001880008736865006,-2.340553514756126,18013
32,False,oni:lag12:exposure,oni,12,exposure,0.07335633827094584,0.03469687335925195,2.114206012496089,18013
